,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"266",266,"moustique tigre","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"348",348,"pyriproxyfène","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"380",380,"santé","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"382",382,"santé publique","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"447",447,"virus","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"448",448,"virus zika","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"451",451,"zika","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"3",3,"abeilles","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"34",34,"apiculteur","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"35",35,"apiculture","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"52",52,"betterave","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"53",53,"betteraves sucrières","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"89",89,"colonies d'abeilles","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"100",100,"confédération paysanne","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"130",130,"dérogation","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"166",166,"essaims","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"181",181,"filière","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"187",187,"frelon","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"192",192,"giee","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"212",212,"interdiction","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"214",214,"interdiction générale","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"256",256,"miel","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"264",264,"mortalité","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"273",273,"néonicotinoïdes","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"302",302,"perte","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"340",340,"pucerons","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"361",361,"réintroduction","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
